,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
0,1,Ven,2019-08-09,20:45,Monaco,0.6,0–3,0.8,Lyon,10000,Stade Louis II.,Ruddy Buquet,Rapport de match,
1,1,Sam,2019-08-10,17:30,Marseille,0.9,0–2,1.2,Reims,52887,Orange Vélodrome,Jérôme Brisard,Rapport de match,
2,1,Sam,2019-08-10,20:00,Montpellier,2.9,0–1,1.2,Rennes,15212,Stade de la Mosson,Willy Delajod,Rapport de match,
3,1,Sam,2019-08-10,20:00,Dijon,2.1,1–2,1.0,Saint-Étienne,14334,Stade Gaston Gérard,Thomas Léonard,Rapport de match,
4,1,Sam,2019-08-10,20:00,Angers,1.6,3–1,1.0,Bordeaux,10749,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Rapport de match,
5,1,Sam,2019-08-10,20:00,Brest,2.2,1–1,1.5,Toulouse,14238,Stade Francis-Le Blé,Olivier Thual,Rapport de match,
6,1,Sam,2019-08-10,20:00,Nice,1.8,2–1,0.8,Amiens,17719,Stade de Nice,Jérémie Pignard,Rapport de match,
7,1,Dim,2019-08-11,15:00,Lille,1.3,2–1,0.6,Nantes,34494,Stade Pierre-Mauroy,Mikael Lesage,Rapport de match,
8,1,Dim,2019-08-11,17:00,Strasbourg,1.7,1–1,0.3,Metz,25476,Stade de la Meinau,Antony Gautier,Rapport de match,
9,1,Dim,2019-08-11,21:00,Paris S-G,3.5,3–0,0.3,Nîmes,47151,Parc des Princes,Clément Turpin,Rapport de match,
10,,,,,,,,,,,,,,
11,2,Ven,2019-08-16,20:45,Lyon,1.1,6–0,0.4,Angers,49871,Groupama Stadium,Benoît Millot,Rapport de match,
12,2,Sam,2019-08-17,17:30,Nantes,0.5,0–0,1.2,Marseille,34832,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Rapport de match,
13,2,Sam,2019-08-17,20:00,Bordeaux,1.2,1–1,0.8,Montpellier,30192,Stade Matmut-Atlantique,Franck Schneider,Rapport de match,
14,2,Sam,2019-08-17,20:00,Nîmes,1.5,1–2,1.9,Nice,13243,Stade des Costières,François Letexier,Rapport de match,
15,2,Sam,2019-08-17,20:00,Toulouse,1.5,1–0,1.3,Dijon,10583,Stadium Municipal,Ruddy Buquet,Rapport de match,
16,2,Sam,2019-08-17,20:00,Metz,2.6,3–0,0.8,Monaco,19088,Stade Saint-Symphorien,Eric Wattellier,Rapport de match,
17,2,Sam,2019-08-17,20:00,Amiens,1.0,1–0,0.3,Lille,12481,Stade Crédit Agricole la Licorne,Karim Abed,Rapport de match,
18,2,Dim,2019-08-18,15:00,Saint-Étienne,2.3,1–1,0.5,Brest,28645,Stade Geoffroy-Guichard,Johan Hamel,Rapport de match,
19,2,Dim,2019-08-18,17:00,Reims,0.5,0–0,0.4,Strasbourg,13714,Stade Auguste-Delaune II,Florent Batta,Rapport de match,
20,2,Dim,2019-08-18,21:00,Rennes,1.2,2–1,1.0,Paris S-G,28596,Roazhon Park,Antony Gautier,Rapport de match,
21,,,,,,,,,,,,,,
22,3,Sam,2019-08-24,20:00,Amiens,0.4,1–2,2.4,Nantes,11393,Stade Crédit Agricole la Licorne,Jeremy Stinat,Rapport de match,
23,3,Sam,2019-08-24,20:00,Dijon,0.4,0–2,0.6,Bordeaux,12471,Stade Gaston Gérard,François Letexier,Rapport de match,
24,3,Sam,2019-08-24,20:00,Brest,0.5,1–0,1.0,Reims,13958,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Rapport de match,
25,3,Sam,2019-08-24,20:00,Angers,1.9,3–0,0.2,Metz,9001,Stade Raymond Kopa,Stéphanie Frappart,Rapport de match,
26,3,Dim,2019-08-25,15:00,Monaco,2.0,2–2,2.5,Nîmes,7438,Stade Louis II.,Amaury Delerue,Rapport de match,
27,3,Dim,2019-08-25,17:00,Strasbourg,1.9,0–2,0.6,Rennes,24951,Stade de la Meinau,Ruddy Buquet,Rapport de match,
28,3,Dim,2019-08-25,21:00,Paris S-G,4.1,4–0,0.4,Toulouse,47325,Parc des Princes,Jérôme Brisard,Rapport de match,
