,index,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Pts/MJ,xG,xGA,xGD,xGD/90,strength
0,0,Paris S-G,14,12,1,1,44,11,33,37,2.64,40.4,11.0,29.4,2.1,4
1,1,Lille,15,11,2,2,24,9,15,35,2.33,26.0,12.8,13.2,0.88,4
2,2,Montpellier,14,10,2,2,26,10,16,32,2.29,23.2,14.2,9.0,0.64,4
3,3,Rennes,14,9,2,3,25,14,11,29,2.07,22.4,13.0,9.4,0.67,4
4,4,Nice,15,8,4,3,28,20,8,28,1.87,21.1,21.5,-0.4,-0.02,4
5,5,Marseille,14,8,4,2,21,14,7,28,2.0,19.3,11.4,7.9,0.57,3
6,6,Angers,15,8,3,4,20,13,7,27,1.8,19.1,14.8,4.3,0.29,3
7,7,Monaco,14,8,2,4,29,22,7,26,1.86,26.8,18.0,8.8,0.63,3
8,8,Strasbourg,13,7,3,3,22,14,8,24,1.85,21.2,13.1,8.1,0.63,3
9,9,Brest,14,6,6,2,21,11,10,24,1.71,18.6,16.0,2.7,0.19,3
10,10,Dijon,14,6,6,2,20,15,5,24,1.71,18.1,15.9,2.2,0.16,2
11,11,Reims,14,5,7,2,12,7,5,22,1.57,16.4,12.7,3.8,0.27,2
12,12,Nantes,14,6,2,6,11,11,0,20,1.43,16.3,15.6,0.7,0.05,2
13,13,Nîmes,14,6,2,6,17,15,2,20,1.43,17.5,15.3,2.2,0.15,2
14,14,Lyon,13,5,4,4,17,7,10,19,1.46,15.3,12.1,3.1,0.24,2
15,15,Metz,14,5,4,5,18,17,1,19,1.36,15.5,20.3,-4.8,-0.34,1
16,16,Saint-Étienne,14,4,6,4,15,18,-3,18,1.29,16.9,18.2,-1.3,-0.09,1
17,17,Bordeaux,13,4,5,4,19,12,7,17,1.31,16.6,15.0,1.6,0.12,1
18,18,Amiens,14,3,5,6,17,23,-6,14,1.0,14.2,17.3,-3.1,-0.22,1
19,19,Toulouse,13,3,0,10,11,24,-13,9,0.69,16.4,19.7,-3.3,-0.25,1
