;index;Équipe;MJ;V;N;D;BM;BE;Pts
0;0;Paris S-G;14;12;1;1;44;11;37
1;1;Lille;14;10;2;2;23;9;32
2;2;Montpellier;14;10;2;2;26;10;32
3;3;Rennes;13;8;2;3;20;14;26
4;4;Nice;14;7;4;3;26;19;25
5;5;Marseille;13;8;3;2;19;12;27
6;6;Angers;14;7;3;4;18;13;24
7;7;Monaco;14;8;2;4;29;22;26
8;8;Strasbourg;13;7;3;3;22;14;24
9;9;Brest;14;6;6;2;21;11;24
10;10;Dijon;13;5;6;2;18;14;21
11;11;Reims;13;4;7;2;11;7;19
12;12;Nantes;14;6;2;6;11;11;20
13;13;Nîmes;14;6;2;6;17;15;20
14;14;Lyon;13;5;4;4;17;7;19
15;15;Metz;13;4;4;5;16;16;16
16;16;Saint-Étienne;13;4;5;4;14;17;17
17;17;Bordeaux;13;4;5;4;19;12;17
18;18;Amiens;14;3;5;6;17;23;14
19;19;Toulouse;13;3;0;10;11;24;9
