,index,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Pts/MJ,xG,xGA,xGD,xGD/90,strength
0,0,Paris S-G,13,10,1,2,31,13,18,31,2.38,33.8,12.0,21.7,1.67,4
1,1,Marseille,14,8,4,2,20,15,5,28,2.0,16.9,20.4,-3.5,-0.25,4
2,2,Rennes,14,6,3,5,13,10,3,21,1.5,14.7,17.2,-2.5,-0.18,4
3,3,Lyon,15,6,3,6,25,20,5,21,1.4,22.3,14.9,7.4,0.49,4
4,4,Bordeaux,15,5,5,5,21,22,-1,20,1.33,13.7,21.9,-8.2,-0.55,4
5,5,Reims,14,5,4,5,14,14,0,19,1.36,14.2,15.8,-1.6,-0.12,3
6,6,Nantes,14,5,2,7,17,20,-3,17,1.21,13.9,15.9,-2.0,-0.14,3
7,7,Metz,14,3,6,5,9,18,-9,15,1.07,11.6,17.8,-6.2,-0.44,3
8,8,Lille,13,4,2,7,11,18,-7,14,1.08,14.2,18.6,-4.3,-0.33,3
9,9,Monaco,14,3,5,6,15,22,-7,14,1.0,22.1,24.8,-2.7,-0.19,3
10,10,Strasbourg,14,4,2,8,10,18,-8,14,1.0,13.0,19.1,-6.1,-0.44,2
11,11,Nice,13,3,4,6,13,18,-5,13,1.0,14.6,22.4,-7.8,-0.6,2
12,12,Saint-Étienne,14,4,0,10,14,27,-13,12,0.86,14.6,20.6,-6.1,-0.43,2
13,13,Angers,13,3,3,7,8,20,-12,12,0.92,10.2,13.6,-3.4,-0.26,2
14,14,Brest,14,2,4,8,13,26,-13,10,0.71,12.1,29.5,-17.4,-1.25,2
15,15,Amiens,14,1,6,7,14,27,-13,9,0.64,13.2,22.1,-8.8,-0.63,1
16,16,Montpellier,14,1,5,8,9,24,-15,8,0.57,12.1,20.6,-8.4,-0.6,1
17,17,Nîmes,14,1,4,9,12,29,-17,7,0.5,12.9,25.6,-12.8,-0.91,1
18,18,Dijon,14,1,3,10,7,22,-15,6,0.43,12.4,22.6,-10.2,-0.73,1
19,19,Toulouse,15,0,4,11,11,34,-23,4,0.27,15.4,26.0,-10.6,-0.71,1
