;index;Équipe;MJ;V;N;D;BM;BE;Pts
0;0;Paris S-G;13;10;1;2;31;13;31
1;1;Marseille;14;8;4;2;20;15;28
2;2;Rennes;14;6;3;5;13;10;21
3;3;Lyon;14;6;3;5;25;19;21
4;4;Bordeaux;14;5;4;5;20;21;19
5;5;Reims;14;5;4;5;14;14;19
6;6;Nantes;13;5;2;6;17;18;17
7;7;Metz;14;3;6;5;9;18;15
8;8;Lille;13;4;2;7;11;18;14
9;9;Monaco;13;3;5;5;14;20;14
10;10;Strasbourg;14;4;2;8;10;18;14
11;11;Nice;13;3;4;6;13;18;13
12;12;Saint-Étienne;14;4;0;10;14;27;12
13;13;Angers;13;3;3;7;8;20;12
14;14;Brest;13;2;4;7;13;25;10
15;15;Amiens;13;1;5;7;12;25;8
16;16;Montpellier;13;1;5;7;9;19;8
17;17;Nîmes;13;1;4;8;11;27;7
18;18;Dijon;14;1;3;10;7;22;6
19;19;Toulouse;14;0;4;10;10;32;4
